qid,question,gold_answers,model_answer,fuzzy_verdict,human_label
triviaqa-qb_7625,The 2002 film ‘We Were Soldiers’ is set in which war?,"Vietnam War | Vietnam war | The Vietnam War | Viet-Nam War | United States invasion of Vietnam | Resistance War Against America | Vietnam War operations and battles | Second Indo-Chinese War | Viet Nam War | 'Nam | US War in Vietnam | War in vietnam | Chiến tranh Việt Nam | Vietnam War, 1961-1975 | United States war crimes in Vietnam | American war crimes in Vietnam | American invasion of South Vietnam | Vientam War | War Against the Americans to Save the Nation | 2nd Indochina War | American War in Vietnam | Vietnamese-American War | Vietnam Conflict | Second Indochinese War | The war of Vietnam | Chien tranh Viet Nam | Allied war crimes during the Vietnam War | War in Vietnam | The American War | Nam (war) | Vietnam Wars | Vietnamese War | American invasion of Vietnam | War of vietnam | Indochina conflict | Vietnam-American War | Vietnam conflict | Background to the Vietnam War | Aftermath of the Vietnam War | VietNam War | Vietnamese–American War | Foreign Involvement in the Vietnam War | The War in Vietnam | Vietnamwar | Second Indochina War | THE FORGOTTEN WAR OF VIETNAM | 'nam | Vietnam (war) | Veitnam war | foreign involvement in vietnam war | vietnam war | american war in vietnam | vietnam american war | vietnamese–american war | resistance war against america | war of vietnam | second indochinese war | vietnam war 1961 1975 | united states war crimes in vietnam | us war in vietnam | chiến tranh việt nam | vietnamwar | american invasion of south vietnam | vietnamese american war | nam | american invasion of vietnam | vietnam war operations and battles | second indochina war | american war | viet nam war | indochina conflict | war in vietnam | war against americans to save nation | veitnam war | nam war | american war crimes in vietnam | aftermath of vietnam war | chien tranh viet nam | vientam war | vietnamese war | vietnam conflict | background to vietnam war | forgotten war of vietnam | 2nd indochina war | second indo chinese war | united states invasion of vietnam | allied war crimes during vietnam war | vietnam wars",World War II,incorrect,
triviaqa-qb_9361,"At the age of 86, which US actor married 40 year old make up artist Arlene Silver in 2012?",Dick Van Dyke | Dick Van Dyk | Dr. Sloan | Richard Van Dyke | Dick van Dyke | Dyck Van Dike | Richard Wayne Van Dyke | Dick van dyke | Learn Not to Burn | Dick Van Dike | Dick VanDyke | dick van dyk | dr sloan | learn not to burn | dick vandyke | dyck van dike | dick van dike | richard wayne van dyke | richard van dyke | dick van dyke,Bette Midler,incorrect,
triviaqa-qw_13369,"What country, after having governed it for 155 years, transferred its sovereignty of Hong Kong to China in 1997?","UK | Regno Unito | United Kingsom | British United Kingdom | Great britain and northern ireland | U.-K. | United Kingdom of Great Britain and North Ireland | UKoGBaNI | UKia | The U–K | UnitedKingdom | Great Britain and Ulster | United Kingdom (state) | UN/LOCODE:TRANK | UKOGBANI | UNITED KINGDOM | U.K | Great Britain (1801–present) | The United Kingdom of Great Britain & Ulster | Britain (country) | The United Kingdom of Great Britain and Northern Ireland | UKGBR | U-K | The U-K | URESWNI | United Kingdoom | UK (state) | British state | U.–K. | Great Britain & Ulster | The U. K. | Royaume Uni | United Kingdom of Great Britain & Ulster | Uk | UK of GB and NI | United Kingdom (U.K.) | UNited Kingdom | U.k. | Royaume-Uni | Y Deyrnas Unedig | Verenigd Koninkrijk | The United-Kingdom | United Kingdom of Great Britain and Northern Island | ISO 3166-1:GB | U.K. | United-Kingdom | U. K. G. B. N. I. | United kingdom | UK of GB & NI | Untied Kingdom | United Kindom | The UK | United Kingdom's | Great Britain and Northern Ireland | United kingom | The U.–K. | U–K | United Kingdom of Great Britain & Northern Ireland | Uk. | Vereinigtes Königreich | The U K | United Kingdom, | United Kingdom of Great Britain and Ulster | The U.-K. | UKGBNI | UK (country) | The United Kingdom | United Kindgom | United Kingdom of Britain | United Kingdom of Great Britain and Northern Ireland | TUKOGBANI | U.K.G.B.N.I. | The uk | United kingdom of great britain and northern ireland | Etymology of the United Kingdom | United Kingdom (country) | British State | United Kingdom (UK) | The United–Kingdom | The U.K. | United Kingom | U K | Great Britain (country) | UKGB | Kingdom of Great Britain and Northern Ireland | United–Kingdom | United Kingdom | United Kingdon | Britain (state) | U. K. | u –k | u–k | ureswni | united kindgom | un locode trank | britain state | united kingdom s | ukia | great britain ulster | uk of gb and ni | ukgb | royaume uni | uk of gb ni | great britain 1801–present | united kingdom of great britain ulster | u k g b n i | uk state | united kingdom state | british state | great britain and northern ireland | tukogbani | united kingdoom | united kingdom | united kingsom | ukgbr | united–kingdom | regno unito | united kingdom of great britain and northern ireland | united kingom | great britain country | united kingdom of great britain and northern island | uk country | united kingdom of britain | united kingdom uk | great britain and ulster | untied kingdom | iso 3166 1 gb | united kingdom of great britain and ulster | ukogbani | vereinigtes königreich | verenigd koninkrijk | y deyrnas unedig | unitedkingdom | united kingdom of great britain and north ireland | uk | kingdom of great britain and northern ireland | united kindom | britain country | etymology of united kingdom | united kingdom u k | united kingdon | ukgbni | british united kingdom | u k | united kingdom of great britain northern ireland | united kingdom country",Hong Kong,incorrect,
triviaqa-qw_14659,"""Which British singer, born Sandra Ann Goodrich, was known as """"the barefoot pop princess of the 1960s""""?""",Sandie Shaw | Just A Disillusion | Just a Disillusion | Tonight in Tokyo | Tonight In Tokyo | Today (Chris Andrews song) | Run (Sandie Shaw song) | Tomorrow (Sandie Shaw song) | Don't Run Away (Sandie Shaw song) | I Don't Need Anything | I'll Stop at Nothing | How Can You Tell | As Long as You're Happy Baby | Sandi Shaw | Nothing Comes Easy (song) | I'll Stop At Nothing | Sandra Goodrich | Today (Sandie Shaw song) | As Long As You're Happy Baby | Show Me (Sandie Shaw song) | sandie shaw | nothing comes easy song | show me sandie shaw song | tomorrow sandie shaw song | today chris andrews song | i don t need anything | sandi shaw | sandra goodrich | today sandie shaw song | how can you tell | don t run away sandie shaw song | tonight in tokyo | run sandie shaw song | just disillusion | as long as you re happy baby | i ll stop at nothing,Sara Bishopp,incorrect,
triviaqa-qw_15971,"What links do Bollywood, Hollywood and Lollywood have?",Film-making | Filmed | Movie making | Filmmakers | Film Production Skills | Film Making | Development (film) | Production (filmmaking) | Film Creation Process | Shooting (filmmaking) | Motion-Picture Technology | Film-makers | Movie production | Filmmaker | Creation of a Movie | Film and television production manager | Film maker | Film-maker | Movie staff | Film shoot | Production cycle | Moviemaking | Film and Television Production Manager | Film Maker | Cinema production | Filmaker | Shooting (film) | Film production | Film makers | Script development | Film making | Production (film) | Filmmaking | movie production | production cycle | filmaker | development film | moviemaking | script development | film production skills | movie making | filmed | film creation process | motion picture technology | film makers | film shoot | filmmaker | filmmakers | production filmmaking | shooting film | filmmaking | creation of movie | movie staff | film and television production manager | cinema production | shooting filmmaking | production film | film making | film maker | film production,"Bollywood, Hollywood and Lollywood have links through their respective film industries.",incorrect,
triviaqa-qw_4783,What is a popular name for the North American bison?,Buffalo | Bufallo | Buffaloes | Buffalos | Buffalo (ship) | Buffalo (AFL) | Buffalo (disambiguation) | Buffalo (vehicle) | Buffaloe | Buffalo (zoology) | Buffalo (album) | buffaloe | buffalo ship | buffalo zoology | buffalo vehicle | buffalo disambiguation | buffaloes | buffalo album | buffalo | buffalos | bufallo | buffalo afl,Bison brucei,incorrect,
triviaqa-qw_8802,Which of the continents is the smallest in area?,Australia | Australia (Commonwealth realm) | AustraliA | Continental Australia | Australias | Peace of Australia | Australian city life | City life in Australia | Australocentrist | Mainland Australia | Australiia | Straya | Australia (commonwealth) | Austraila | Ausrtalia | Australia (nation) | Australien | New Australian | Australia (dominion) | Australia (federation) | Australia (country) | Aussieland | Federal Australia | Country life in Australia | Orstraya | Australia (nation state) | Australia (commonwealth realm) | Australocentrism | Austraya | Australie | AUSTRALIA | Geopolitics of Australia | Australia (nation-state) | Australia's | Australian mainland | Australian country life | Australian Woman's Day | Imperial Australia | United States of Australia | Australia (realm) | Australia (constitutional monarchy) | Austalia | Etymology of Australia | Philosophy in Australia | Commonwealth of Australia | Australija | Australia (monarchy) | Dominion of Australia | Empire of Australia | Ostralia | Modern Australia | Commonwealth of australia | Australia (empire) | Australo | The Commonwealth of Australia | Australia. | Austrlia | Australlia | AUSTRALIAN | Australia (state) | ISO 3166-1:AU | Austrailia | Commonwealth Australia | Pax Australiana | Australian Commonwealth | Australocentric | Austrlaia | Technology in Australia | Australia (Commonwealth) | Australai | Australian geopolitics | Asutralia | Australo- | Australian's | Science in Australia | australie | orstraya | federal australia | australias | empire of australia | modern australia | asutralia | iso 3166 1 au | australien | australia country | australia federation | austraila | country life in australia | philosophy in australia | australlia | continental australia | pax australiana | austrlaia | australia dominion | australian woman s day | australia monarchy | australia | australian country life | united states of australia | mainland australia | australia commonwealth | austalia | australija | australocentric | peace of australia | australia realm | ostralia | australocentrist | australian geopolitics | australia nation | australia commonwealth realm | australian | australian city life | australia empire | austraya | australiia | geopolitics of australia | australo | technology in australia | ausrtalia | australai | australia nation state | science in australia | dominion of australia | commonwealth of australia | australia state | aussieland | australian mainland | australian s | imperial australia | austrailia | city life in australia | austrlia | commonwealth australia | straya | australocentrism | australia s | australia constitutional monarchy | etymology of australia | australian commonwealth | new australian,Africa,incorrect,
triviaqa-qw_9768,George Cukor directed which 1964 film musical?,My Fair Lady | My Fair Lady (2010 film) | Enry Iggins | Why Can't the English%3F | My Fair Lady (upcoming film) | My Fair Lady (musical) | My fair lady | I'm an Ordinary Man | My Fair Lady (2014 film) | My Fair Lady (2012 film) | My Fair Lady (2015 film) | my fair lady musical | my fair lady | my fair lady 2010 film | why can t english 3f | my fair lady upcoming film | my fair lady 2012 film | my fair lady 2014 film | my fair lady 2015 film | i m ordinary man | enry iggins,The Great White Hope,incorrect,
triviaqa-qz_4845,What kind of creature is Firenze?,Centaur | Centaurs | Hippocentaur | Ixionidae | Centuar | Centaur (mythology) | Battle of the Centaurs | Sintar | Centauress | Cintar | centaur mythology | cintar | ixionidae | centauress | battle of centaurs | centaurs | sintar | hippocentaur | centuar | centaur,"Firenze is a fictional character from the ""Harry Potter"" series.",incorrect,
triviaqa-qz_5341,Which fictional girls' boarding school was created by the cartoonist Ronald Searle,"St. Trinians | St. Trinians School | St. Trinian's School | Beth Marie Centre | The Beth Marie centre | West heath girl's school | Beth Marie center | St Trinian's School | St Trinian's School for Girls, Edinburgh | The Beth Marie center | Beth Marie centre | New School at West Heath | The Beth Marie Centre | West Heath Girl's School | Beth marie center | St Trinnean's | St. trinian | New school at west heath | West Heath girls' school | Saint Trinians | West heath School | St Trinians School | The New School At West Heath | St Trinions | St. Trinian's | Beth marie Center | St Trinians | West Heath school | West heath girls' school | St Trinnean's School for Girls, Edinburgh | Beth marie Centre | The Beth Marie Center | St Trinian | The new school at west heath | West Heath girl's school | Beth Marie Center | West Heath girls school | St trinians | West heath school | St Trinian's | St. Trinnean's School | st trinnean s school for girls edinburgh | st trinian s school | st trinian s school for girls edinburgh | beth marie centre | st trinions | west heath girl s school | st trinian | new school at west heath | west heath school | west heath girls school | st trinian s | st trinians school | st trinians | st trinnean s | st trinnean s school | beth marie center | saint trinians",Ponyville School,incorrect,
triviaqa-qz_6685,"Where does the infamous ""Streif"" downhill ski race take place?","Kitzbühel | Kitzbühel Sportpark Tennis Stadium | Kitzbuhel, Austria | Kitzbuhel | Kitzbuel | Kitzbuhl | Kitzbühl | Kitzbuehel, Austria | Kitzbuehel | Kitzbühel, Austria | Kitzbuehl | kitzbuhel austria | kitzbuel | kitzbühel sportpark tennis stadium | kitzbühl | kitzbuehel austria | kitzbuehel | kitzbühel austria | kitzbuhl | kitzbuhel | kitzbühel | kitzbuehl","Ski Jumping Ground in Aspen, Colorado",incorrect,
triviaqa-sfq_10894,Which group became the first to reach Number One with their first five singles?,THE SPICE GIRLS | Spice Girls solo discography | The Spice Girls | Now And Forever : The Greatest Hits (Spice Girls album) | Spice Girl | Suzanne Tinker | Lianne Morgan | Spice Girls | Solo spice girls discography | Spice girls | The Spice Girls Story: Viva Forever! | Touch (girl group) | spice girls story viva forever | spice girl | spice girls | lianne morgan | spice girls solo discography | suzanne tinker | touch girl group | now and forever greatest hits spice girls album | solo spice girls discography,The Beatles,incorrect,
triviaqa-sfq_12404,Who is the only actress to win 4 Oscars for Best Actress?,"Katherine Hepburn | Catherine Hepburn | Katharine Houghton Hepburn | Katharine Hepburn | Ogden Smith Ludlow | Hepburn, Katharine | Kate Hepburn | Ludlow Ogden Smith | Tom Hepburn | Kathryn Hepburn | katherine hepburn | ogden smith ludlow | katharine hepburn | kate hepburn | tom hepburn | katharine houghton hepburn | ludlow ogden smith | catherine hepburn | kathryn hepburn | hepburn katharine",Gwyneth Paltrow,incorrect,
triviaqa-sfq_12905,"What was the name of the democratic government of Germany in the 1920s and early 1930s, destroyed by Adolf Hitler?",Weimar Republic | Weimar rep | Weimer republic | Weimar government | Wiemar Republic | Agressive leaders in Germany and japan | Weimar Democracy | The Weimar Republic | Weimar Era | Weimar regime | Weimar parliament | Weimer Republic | Wiemar republic | German Reich (1919–1933) | Birth of weimar republic | Weiman republic | Weimar period | Weimar Establishment | List of Weimer states | November Republic | Weimsr republic | Weimar republic | Weimarer Republik | The Great Depression in Germany | Weimar Germany | Republic of Weimar | Weimar era | november republic | weimar germany | weimar government | weimsr republic | weimar regime | weimar democracy | weimar republic | german reich 1919–1933 | birth of weimar republic | wiemar republic | weimarer republik | republic of weimar | weimer republic | weimar era | agressive leaders in germany and japan | list of weimer states | great depression in germany | weimar parliament | weimar establishment | weimar period | weimar rep | weiman republic,Nazi Germany,incorrect,
triviaqa-sfq_13986,"Which is the main sport played at the Basin Reserve in Wellington, New Zealand?",CRICKET | Cricket games | Cricketeer | Wicketkeeping | Sport cricket | Cricket team | Cricket | Cricket Clubs | Cricketer | Spirit of cricket | Spirit of Cricket | Amature cricket | World Richest Cricketers | Cricketed | Coin toss (cricket) | Scorecard (cricket) | Cricket player | Cricketplayer | Cricket (sport) | Kricket | Sports cricket | 🏏 | The toss | Criket | Cricketing | Cricket club | Amateur cricket | Cricket as a social event | Not in the spirit of cricket | Creag | Cricket (game) | Cricketers | amature cricket | spirit of cricket | cricketers | scorecard cricket | cricket player | coin toss cricket | cricket | cricket sport | kricket | cricketed | cricketplayer | cricket clubs | amateur cricket | cricketeer | world richest cricketers | criket | cricket as social event | not in spirit of cricket | cricketing | sports cricket | cricket club | cricketer | wicketkeeping | cricket games | creag | sport cricket | cricket game | toss | cricket team,volleyball,incorrect,
triviaqa-sfq_17180,"The islands of Hoy, Sanday and Westray belong to which island group?","ORKNEYS | Orkney Islands | Arcaibh | Orkney Island | Orkney beef | Orkney Isles council area | Orkney Islands, Scotland | Orkney Isles | Orcadia (disambiguation) | Orkney | Orkney (council area) | Orkney Council | Orkney Islands (council area) | The Orkneys | Orcadia | Orkney Islands council area | Swedish earldom of Orkney | Orkneys | Orkney (islands council area of Scotland) | Orkney islands | County of Orkney | Orkney lamb | Orcades (islands) | Orkney island | orkney islands council area | orkney island | orkney beef | orkneys | orkney islands council area of scotland | orkney lamb | county of orkney | swedish earldom of orkney | orkney | orkney council area | orcadia disambiguation | orkney islands | orkney islands scotland | orkney isles | orkney council | orcades islands | orcadia | arcaibh | orkney isles council area","Hoy, Sanday and Westray belong to the Outer Hebrides.",incorrect,
triviaqa-sfq_17846,"If the words Posta Shqiptare appear on a postage stamp, from which country does it come?",ALBANIA | Republic of Albania | Etymology of Albania | Albania | Albanija | Shqiperia | Albenia | Albanie | Shqiperi | Albania (Balkans) | Shquiperia | Health in Albania | Shqipëri | AlbaniA | Shqipëria | Republika e Shqipërisë | ISO 3166-1:AL | albania | shqipëri | etymology of albania | shqipëria | shqiperia | health in albania | albenia | albanija | albanie | shquiperia | republika e shqipërisë | republic of albania | iso 3166 1 al | shqiperi | albania balkans,Serbia,incorrect,
triviaqa-sfq_18936,The Insight and Jazz car models are produced by which company?,"Honda | Honda Technologies | HONDA | Honda atv | Honda Motor Company, Limited | Honda Clio | Honda Soltec | Honda (automobile) | Honda Outboard | Honda Motor Co. | Honda Motor Company Limited | Honda Corporation | Honda Verno | Honda Group | Honda motorcycle | 本田 | Soltec | Honda Motor Co., Ltd. | Hero honda passion plus | Cbr 150 | Honda Motor Company Inc. | Honda motorcycles | Honda Motor Company | Honda Motor Co. Ltd. | Honda 300ex | Honda CL145 | Honda Motorcycles | Honda Primo | Honda Motor Manufacturing | Honda Werther | Honda Motor | honda werther | soltec | honda soltec | honda motor manufacturing | honda atv | honda technologies | honda corporation | hero honda passion plus | honda motorcycle | honda motorcycles | honda 300ex | honda motor company | honda primo | honda group | honda motor co ltd | honda motor co | honda verno | honda clio | honda motor company limited | honda cl145 | honda outboard | honda motor company inc | cbr 150 | honda | honda automobile | honda motor",Toyota,incorrect,
triviaqa-sfq_2213,Which mountain range extends almost the length of Italy?,Apennines | Apennine mountains | Apennine Range | Ligurian Apennine | Appennine mountains | Appennines | Apennine Mountains | Appennine | Ligurian Appennines | Appenines | Appennini | Appennin | Appennino | apennine range | appenines | appennino | apennines | ligurian appennines | ligurian apennine | appennini | appennines | appennine | appennine mountains | apennine mountains | appennin,Mount Apennine,incorrect,
triviaqa-sfq_23493,Josiah Bartlet was a central character in which U.S. TV drama series?,"The West Wing | The West Wing (television series) | San Andreo | The West Wing (TV Series) | The West Wing (TV show) | West Wing (TV Series) | West Wing, The | Qumar | The west wing (tv) | West wing (TV series) | The West Wing (television) | The West Wing (tv series) | Q'umar | West Wing (television show) | Kuhndu | West Wing (TV show) | List of The West Wing broadcasters and home video releases | The west wing (tv series) | 1998 presidential election (west wing) | West Wing (television) | West wing (tv) | The West Wing (TV) | The West Wing (TV series) | Equatorial Kundu | West Wing (TV series) | kuhndu | west wing tv show | san andreo | west wing tv | q umar | 1998 presidential election west wing | west wing television series | west wing television show | west wing tv series | west wing | qumar | equatorial kundu | list of west wing broadcasters and home video releases | west wing television","Josiah Bartlet was a central character in ""The Young and the Restless"" (1995-2",incorrect,
triviaqa-sfq_4865,"Who said that there are only three true sports, bullfighting, mountaineering and motor racing, the rest are merely games?","Ernest Hemingway | Famous at Twenty-Five Thirty a Master | E. M. Hemmingway | From Boy to Man Hemingways First World War | Clarence Edmonds Hemingway | ErnestHemingway/TheDownwardSpiral | Earnest Hemmingway | Ernest Heminway | ErnestHemingway/ViolenceandRedemption | Ernest M. Hemingway | Ernest Hemingway/The Downward Spiral | Hemingway ernest | From Reality to Fiction A Farewell to Arms | ErnestHemingway/FromRealitytoFictionAFarewelltoArms | ErnestHemingway/TheTimeinBetween | ErnestHemingway | ErnestHemingway/BibliographY | E. M. Hemingway | ErnestHemingway/SureShotsTheSecondWorldWar | Sure Shots The Second World War | Ernest Hemingway/Violence and Redemption | Ernest Hemingway/The Time in Between | Ernest Hemingway/Bibliography | Hemingway, Ernest | ErnestHemingway/FamousatTwentyFiveThirtyaMaster | Things Turn Sour | Ernesthemingway | Ernest Hemingway/Famous at Twenty-Five Thirty a Master | Ernest Hemmingway | ErnestHemingway/FromBoytoManHemingwaysFirstWorldWar | Ernest Miller Hemmingway | Hemingwayesque | E. Hemmingway | E. Hemingway | Why It Went Wrong | Violence and Redemption | ErnestHemingway/TheEndlessDarkNothingness | The Endless Dark Nothingness | Ernest Hemingway/Things Turn Sour | Ernest Hemingway/Young and Innocent | Ernest M. Hemmingway | Hemmingway | ErnestHemingway/YoungandInnocent | ErnestHemingway/ThingsTurnSour | Ernest Hemingway/The Endless Dark Nothingness | Ernest Hemingway/From Boy to Man Hemingways First World War | Hemingway | Ernest Hemingway/Sure Shots The Second World War | Ernest Hemingway/From Reality to Fiction A Farewell to Arms | ErnestHemingway/WhyItWentWrong | Ernest Miller Hemingway | Ernest Hemingway/Why It Went Wrong | Hemingwayan | ernest hemingway things turn sour | ernest miller hemmingway | hemingwayan | famous at twenty five thirty master | hemingway ernest | ernesthemingway fromrealitytofictionafarewelltoarms | endless dark nothingness | ernest hemingway downward spiral | violence and redemption | ernesthemingway sureshotsthesecondworldwar | ernest hemingway young and innocent | e m hemmingway | ernesthemingway fromboytomanhemingwaysfirstworldwar | ernest hemingway violence and redemption | from reality to fiction farewell to arms | ernest m hemmingway | ernesthemingway thedownwardspiral | ernest hemingway sure shots second world war | hemmingway | ernest m hemingway | ernesthemingway bibliography | ernesthemingway famousattwentyfivethirtyamaster | things turn sour | ernesthemingway | why it went wrong | ernest hemingway from boy to man hemingways first world war | clarence edmonds hemingway | from boy to man hemingways first world war | ernesthemingway thetimeinbetween | e m hemingway | ernest hemingway | ernesthemingway violenceandredemption | ernesthemingway theendlessdarknothingness | ernesthemingway youngandinnocent | ernest hemingway why it went wrong | hemingwayesque | ernesthemingway thingsturnsour | ernest hemingway time in between | ernest hemingway bibliography | sure shots second world war | ernest hemingway famous at twenty five thirty master | ernest hemmingway | ernest miller hemingway | ernest hemingway endless dark nothingness | e hemmingway | e hemingway | ernest hemingway from reality to fiction farewell to arms | ernesthemingway whyitwentwrong | hemingway | earnest hemmingway | ernest heminway",soccer,incorrect,
triviaqa-tb_878,"Whose summer residence is at Lake Gandalfo, a small town south-east of Rome?",Pope's | List of Vatican monarchs | African popes | List of Roman Catholic popes by nationality | List of popes | German pope | List of German popes | List of popes by nationality | List of Popes | List of Bishops of Rome | List of the popes | Recent pope | List of Popes by nationality | List of Popes of Rome | Popes by nationality | Popes | List of bishops of Rome | Timeline of the Papacy | List of Syrian popes | List of Catholic popes | List of Roman Catholic Popes | Recent Pope | List of popes of Rome | Syrian popes | recent pope | timeline of papacy | popes by nationality | list of roman catholic popes | german pope | list of german popes | list of bishops of rome | pope s | list of popes | list of popes by nationality | syrian popes | list of roman catholic popes by nationality | list of vatican monarchs | african popes | popes | list of syrian popes | list of popes of rome | list of catholic popes,Lake Como,incorrect,
triviaqa-tc_1537,Which cartoon and film character is the nickname of super athlete Michael Johnson?,Superman | Stalmannen | Supaaman | Jordan Elliot | Superman (fictional character) | Superman Secret Files | Kal-El | Super-Man | Codename: Patriot | The Metropolis Marvel | Big blue boy scout | SuperMan | Kal-el | Superman (Clark Kent) | Action Ace | Kal el | Super man | Superman Costume | Able to leap tall buildings in a single bound | The Superman | Super-man | Supertman | Stålmannen | Superman (comics) | Supes | Superman: Secret Files | Metropolis Marvel | Superman (DC Comics) | Super Man | The Action Ace | Kal El | Ubermensch! | Big Blue Cheese | Faster than a speeding bullet | SUPERMAN | Übermensch! | Superman (Kal-El) | More powerful than a locomotive | Man of tomorrow | Supraman | KAL-EL | Superman/Clark Kent | Kirk Brent | Superman (character) | Gojjum | supes | superman clark kent | kal el | supertman | übermensch | man of tomorrow | more powerful than locomotive | kirk brent | codename patriot | stalmannen | superman comics | faster than speeding bullet | superman costume | superman secret files | superman fictional character | superman dc comics | jordan elliot | super man | action ace | big blue cheese | supaaman | big blue boy scout | ubermensch | superman character | gojjum | superman | metropolis marvel | stålmannen | superman kal el | supraman | able to leap tall buildings in single bound,Michael Jordan,incorrect,
triviaqa-wh_925,"Which other colour, along with yellow and green appears on the flag of Gabon?",BLUE | Gauss-Markov assumptions | Best Linear Unbiased Estimator | Gauss-Markov theorem | Linear estimator | Gauss–Markov assumptions | Gauss-Markow least squares theorem | Best linear unbiased estimator | Gauss–Markov–Aitken theorem | Gauss-Markov model | Gauss-Markov-Aitken theorem | Gauss markov theorem | Gauss–Markov model | Gauss–Markov theorem | Blue (statistics) | linear estimator | gauss–markov assumptions | blue | gauss markov assumptions | gauss–markov–aitken theorem | gauss markow least squares theorem | gauss markov model | gauss markov aitken theorem | gauss–markov model | gauss markov theorem | gauss–markov theorem | best linear unbiased estimator | blue statistics,red,incorrect,
